pattern,neck_15m,neck_1h,neck_4h,confirm_ts,entry_ts,entry_price,sl_4h,ts_4h,sl_4h_ts,sl_1h_ts,window
DB,151.396,151.428,151.541,2024-03-26 12:45:00+00:00,2024-03-26 12:50:00+00:00,151.466,151.204,2024-03-27 20:00:00+00:00,2024-03-26 12:00:00+00:00,2024-03-26 10:00:00+00:00,2024-03-25 14:00:00+00:00 ~ 2024-03-26 20:00:00+00:00
ASCENDING,157.519,157.529,158.27,2024-06-17 08:05:00+00:00,2024-06-17 08:10:00+00:00,157.634,157.154,2024-06-18 00:00:00+00:00,2024-06-17 08:00:00+00:00,2024-06-17 07:00:00+00:00,2024-06-14 12:00:00+00:00 ~ 2024-06-17 17:00:00+00:00
ASCENDING,142.368,142.928,143.943,2024-09-20 07:00:00+00:00,2024-09-20 07:05:00+00:00,143.062,141.722,2024-09-23 04:00:00+00:00,2024-09-20 08:00:00+00:00,2024-09-20 07:00:00+00:00,2024-09-19 11:00:00+00:00 ~ 2024-09-20 17:00:00+00:00
ASCENDING,151.79,151.79,152.18,2024-12-11 10:00:00+00:00,2024-12-11 10:05:00+00:00,152.651,151.0,2024-12-12 08:00:00+00:00,2024-12-11 12:00:00+00:00,2024-12-11 10:00:00+00:00,2024-12-10 14:00:00+00:00 ~ 2024-12-11 20:00:00+00:00
ASCENDING,157.89,157.89,158.09,2024-12-30 00:55:00+00:00,2024-12-30 01:00:00+00:00,157.942,157.344,2024-12-30 04:00:00+00:00,2024-12-27 20:00:00+00:00,2024-12-27 17:00:00+00:00,2024-12-26 21:00:00+00:00 ~ 2024-12-30 02:00:00+00:00
ASCENDING,158.152,158.416,157.96,2025-01-07 15:05:00+00:00,2025-01-07 15:10:00+00:00,158.39,157.35,2025-01-08 08:00:00+00:00,2025-01-07 12:00:00+00:00,2025-01-07 09:00:00+00:00,2025-01-06 13:00:00+00:00 ~ 2025-01-07 19:00:00+00:00
DB,144.94,144.94,144.599,2025-06-17 14:35:00+00:00,2025-06-17 14:40:00+00:00,145.182,144.384,2025-06-18 16:00:00+00:00,2025-06-17 16:00:00+00:00,2025-06-17 13:00:00+00:00,2025-06-16 17:00:00+00:00 ~ 2025-06-17 23:00:00+00:00
ASCENDING,144.43,145.213,145.233,2025-07-04 13:30:00+00:00,2025-07-04 13:35:00+00:00,144.491,144.17,2025-07-05 00:00:00+00:00,2025-07-04 08:00:00+00:00,2025-07-04 07:00:00+00:00,2025-07-03 11:00:00+00:00 ~ 2025-07-04 17:00:00+00:00
ASCENDING,147.312,148.181,148.181,2025-09-12 01:45:00+00:00,2025-09-12 01:50:00+00:00,147.391,146.97,2025-09-12 08:00:00+00:00,2025-09-11 20:00:00+00:00,2025-09-11 17:00:00+00:00,2025-09-10 21:00:00+00:00 ~ 2025-09-12 03:00:00+00:00
ASCENDING,148.104,148.112,148.274,2025-09-19 12:45:00+00:00,2025-09-19 12:50:00+00:00,148.233,147.192,2025-09-22 04:00:00+00:00,2025-09-19 08:00:00+00:00,2025-09-19 05:00:00+00:00,2025-09-18 09:00:00+00:00 ~ 2025-09-19 15:00:00+00:00
ASCENDING,156.997,156.997,156.993,2026-01-05 00:10:00+00:00,2026-01-05 00:15:00+00:00,157.115,156.558,2026-01-06 00:00:00+00:00,2026-01-02 20:00:00+00:00,2026-01-02 17:00:00+00:00,2025-12-31 22:00:00+00:00 ~ 2026-01-05 02:00:00+00:00
ASCENDING,158.086,158.086,158.602,2026-01-21 15:20:00+00:00,2026-01-21 15:25:00+00:00,158.286,157.74,2026-01-23 00:00:00+00:00,2026-01-21 16:00:00+00:00,2026-01-21 13:00:00+00:00,2026-01-20 17:00:00+00:00 ~ 2026-01-21 23:00:00+00:00
