pattern,entry_ts,entry_price,neck_15m,neck_1h,neck_4h,sl_4h,exit_ts,exit_price,exit_reason,exit_phase,pnl_pips
DB,2024-03-26 12:35:00+00:00,151.46599999999998,151.396,151.44,151.541,151.204,2024-03-26 14:15:00+00:00,151.399,stage1_5m_dow,stage1,-6.7
ASCENDING,2024-06-17 08:05:00+00:00,157.589,157.519,157.657,158.27,157.154,2024-06-17 10:30:00+00:00,157.595,stage1_5m_dow,stage1,0.6
DB,2024-06-19 15:55:00+00:00,158.0,157.93,157.93,158.23,157.599,2024-06-19 19:55:00+00:00,157.999,stage1_5m_dow,stage1,-0.1
ASCENDING,2024-09-20 07:00:00+00:00,142.438,142.368,142.928,143.943,141.722,2024-09-22 22:40:00+00:00,143.934,stage3_15m_dow,stage3,150.05
ASCENDING,2024-12-11 10:00:00+00:00,151.86,151.79,152.18,152.18,151.0,2024-12-11 14:25:00+00:00,152.111,stage3_15m_dow,stage3,28.55
ASCENDING,2024-12-27 20:30:00+00:00,157.95999999999998,157.89,157.89,158.09,157.344,2024-12-29 22:55:00+00:00,157.654,stage1_5m_dow,stage1,-30.6
ASCENDING,2025-07-04 13:30:00+00:00,144.5,144.43,145.213,145.233,144.17,2025-07-04 14:25:00+00:00,144.448,stage1_5m_dow,stage1,-5.2
ASCENDING,2025-09-12 01:40:00+00:00,147.382,147.312,148.181,148.181,146.97,2025-09-12 03:10:00+00:00,147.463,stage1_5m_dow,stage1,8.1
ASCENDING,2025-09-19 11:55:00+00:00,148.174,148.104,148.112,148.274,147.192,2025-09-19 12:50:00+00:00,148.174,stage2_breakeven_stop,stage2,5.0
ASCENDING,2026-01-21 15:15:00+00:00,158.156,158.086,158.257,158.602,157.74,2026-01-21 17:05:00+00:00,158.165,stage1_5m_dow,stage1,0.9
